user_id,group,opened,clicked,purchased
1,A,False,False,False
2,B,False,False,False
3,B,True,False,False
4,B,False,False,False
5,A,False,False,False
6,A,False,False,False
7,A,True,False,False
8,B,False,False,False
9,B,False,False,False
10,B,False,False,False
11,A,False,False,False
12,B,False,False,False
13,B,False,False,False
14,A,False,False,False
15,A,False,False,False
16,A,True,False,False
17,A,True,False,False
18,B,True,False,False
19,A,True,False,False
20,A,True,False,False
21,B,True,True,False
22,A,True,False,False
23,A,False,False,False
24,A,True,False,False
25,A,False,False,False
26,B,True,False,False
27,A,False,False,False
28,B,False,False,False
29,B,False,False,False
30,A,False,False,False
31,B,True,True,False
32,A,False,False,False
33,A,False,False,False
34,B,False,False,False
35,B,False,False,False
36,B,False,False,False
37,A,False,False,False
38,A,True,False,False
39,B,False,False,False
40,A,True,False,False
41,A,False,False,False
42,A,True,False,False
43,A,True,False,False
44,B,False,False,False
45,A,False,False,False
46,B,False,False,False
47,A,True,False,False
48,B,True,False,False
49,B,False,False,False
50,A,False,False,False
51,B,False,False,False
52,B,False,False,False
53,B,False,False,False
54,B,False,False,False
55,B,False,False,False
56,B,False,False,False
57,A,False,False,False
58,A,False,False,False
59,A,False,False,False
60,A,False,False,False
61,A,True,False,False
62,A,True,False,False
63,B,False,False,False
64,A,True,False,False
65,A,True,False,False
66,B,False,False,False
67,A,False,False,False
68,B,False,False,False
69,A,False,False,False
70,B,False,False,False
71,B,False,False,False
72,A,False,False,False
73,A,False,False,False
74,B,True,False,False
75,B,False,False,False
76,B,True,False,False
77,B,True,False,False
78,A,False,False,False
79,A,True,False,False
80,A,False,False,False
81,B,False,False,False
82,B,False,False,False
83,A,False,False,False
84,A,False,False,False
85,A,True,False,False
86,A,False,False,False
87,B,False,False,False
88,B,False,False,False
89,B,False,False,False
90,A,True,True,False
91,A,True,False,False
92,B,True,True,False
93,B,False,False,False
94,B,False,False,False
95,B,False,False,False
96,A,False,False,False
97,B,False,False,False
98,A,False,False,False
99,A,True,False,False
100,A,True,False,False
101,A,False,False,False
102,B,False,False,False
103,A,False,False,False
104,B,False,False,False
105,B,False,False,False
106,A,True,False,False
107,A,True,False,False
108,B,False,False,False
109,A,False,False,False
110,A,True,True,False
111,A,True,False,False
112,A,True,False,False
113,B,False,False,False
114,B,False,False,False
115,B,True,False,False
116,B,True,False,False
117,B,True,True,False
118,A,False,False,False
119,B,True,False,False
120,B,False,False,False
121,B,True,False,False
122,B,True,False,False
123,A,False,False,False
124,A,False,False,False
125,A,True,False,False
126,A,False,False,False
127,B,False,False,False
128,B,False,False,False
129,A,False,False,False
130,B,False,False,False
131,A,False,False,False
132,A,True,True,False
133,A,False,False,False
134,A,False,False,False
135,B,True,False,False
136,A,True,False,False
137,B,True,False,False
138,B,False,False,False
139,A,False,False,False
140,B,False,False,False
141,B,True,False,False
142,A,False,False,False
143,A,False,False,False
144,A,False,False,False
145,A,False,False,False
146,A,False,False,False
147,B,False,False,False
148,B,False,False,False
149,A,False,False,False
150,A,False,False,False
151,B,False,False,False
152,A,True,False,False
153,A,True,True,False
154,A,True,False,False
155,B,False,False,False
156,A,False,False,False
157,B,True,False,False
158,B,True,False,False
159,A,False,False,False
160,B,False,False,False
161,A,False,False,False
162,B,False,False,False
163,B,False,False,False
164,B,False,False,False
165,A,False,False,False
166,B,True,False,False
167,A,False,False,False
168,A,False,False,False
169,A,False,False,False
170,B,False,False,False
171,B,False,False,False
172,A,True,False,False
173,B,False,False,False
174,A,True,False,False
175,B,True,False,False
176,A,True,False,False
177,B,False,False,False
178,A,False,False,False
179,B,False,False,False
180,A,False,False,False
181,A,False,False,False
182,A,False,False,False
183,B,False,False,False
184,B,False,False,False
185,A,False,False,False
186,B,False,False,False
187,B,False,False,False
188,B,False,False,False
189,B,True,False,False
190,A,True,False,False
191,A,False,False,False
192,B,True,False,False
193,B,True,False,False
194,B,False,False,False
195,A,True,False,False
196,A,False,False,False
197,B,False,False,False
198,B,False,False,False
199,B,True,False,False
200,B,True,False,False
201,B,False,False,False
202,A,True,False,False
203,A,False,False,False
204,B,True,False,False
205,B,True,False,False
206,A,True,False,False
207,A,False,False,False
208,B,True,False,False
209,A,True,False,False
210,A,False,False,False
211,B,False,False,False
212,B,False,False,False
213,B,True,False,False
214,A,False,False,False
215,B,False,False,False
216,A,False,False,False
217,A,False,False,False
218,B,True,False,False
219,B,False,False,False
220,B,True,False,False
221,B,False,False,False
222,B,False,False,False
223,A,False,False,False
224,A,True,False,False
225,A,True,False,False
226,A,False,False,False
227,B,False,False,False
228,A,False,False,False
229,B,True,False,False
230,B,True,False,False
231,B,False,False,False
232,B,False,False,False
233,B,False,False,False
234,A,False,False,False
235,A,False,False,False
236,B,False,False,False
237,A,False,False,False
238,A,False,False,False
239,B,False,False,False
240,A,True,False,False
241,B,False,False,False
242,B,True,False,False
243,B,False,False,False
244,A,False,False,False
245,A,True,False,False
246,B,False,False,False
247,A,True,False,False
248,B,False,False,False
249,B,False,False,False
250,B,True,False,False
251,A,False,False,False
252,A,True,True,False
253,B,True,False,False
254,A,False,False,False
255,A,False,False,False
256,B,True,False,False
257,B,False,False,False
258,B,False,False,False
259,B,False,False,False
260,A,True,True,False
261,B,False,False,False
262,B,False,False,False
263,A,False,False,False
264,B,False,False,False
265,B,False,False,False
266,B,True,False,False
267,B,False,False,False
268,B,False,False,False
269,A,False,False,False
270,A,False,False,False
271,B,False,False,False
272,B,False,False,False
273,B,False,False,False
274,B,True,False,False
275,B,False,False,False
276,B,False,False,False
277,B,False,False,False
278,B,False,False,False
279,B,False,False,False
280,B,False,False,False
281,B,False,False,False
282,A,False,False,False
283,A,False,False,False
284,A,False,False,False
285,B,True,False,False
286,A,True,False,False
287,A,False,False,False
288,B,True,False,False
289,A,False,False,False
290,B,True,False,False
291,A,False,False,False
292,A,True,False,False
293,B,True,False,False
294,A,False,False,False
295,A,False,False,False
296,B,False,False,False
297,B,False,False,False
298,A,False,False,False
299,B,True,False,False
300,A,False,False,False
301,A,False,False,False
302,B,False,False,False
303,B,True,False,False
304,B,False,False,False
305,B,True,False,False
306,B,False,False,False
307,B,False,False,False
308,A,True,False,False
309,B,False,False,False
310,A,False,False,False
311,A,False,False,False
312,A,True,False,False
313,A,False,False,False
314,B,True,True,False
315,B,False,False,False
316,B,False,False,False
317,A,False,False,False
318,A,True,False,False
319,A,False,False,False
320,A,True,False,False
321,B,False,False,False
322,B,True,False,False
323,B,False,False,False
324,A,True,False,False
325,B,True,False,False
326,B,True,False,False
327,B,False,False,False
328,B,True,False,False
329,A,False,False,False
330,A,False,False,False
331,A,False,False,False
332,B,False,False,False
333,A,True,False,False
334,A,False,False,False
335,A,True,False,False
336,A,False,False,False
337,B,True,False,False
338,B,False,False,False
339,A,False,False,False
340,A,False,False,False
341,A,True,False,False
342,A,False,False,False
343,A,True,False,False
344,A,False,False,False
345,A,False,False,False
346,B,False,False,False
347,B,False,False,False
348,A,False,False,False
349,A,False,False,False
350,B,False,False,False
351,B,False,False,False
352,B,False,False,False
353,B,True,False,False
354,A,False,False,False
355,A,False,False,False
356,B,True,False,False
357,A,False,False,False
358,B,False,False,False
359,B,True,False,False
360,B,False,False,False
361,A,False,False,False
362,B,False,False,False
363,A,False,False,False
364,B,False,False,False
365,B,True,False,False
366,A,False,False,False
367,B,False,False,False
368,B,False,False,False
369,A,False,False,False
370,A,False,False,False
371,A,False,False,False
372,A,False,False,False
373,A,False,False,False
374,B,False,False,False
375,A,False,False,False
376,A,False,False,False
377,B,True,True,False
378,A,False,False,False
379,B,False,False,False
380,A,False,False,False
381,A,False,False,False
382,B,False,False,False
383,B,True,False,False
384,B,False,False,False
385,B,False,False,False
386,B,True,False,False
387,A,True,False,False
388,A,False,False,False
389,B,False,False,False
390,B,False,False,False
391,B,False,False,False
392,A,False,False,False
393,A,False,False,False
394,B,False,False,False
395,A,True,False,False
396,B,False,False,False
397,B,False,False,False
398,A,False,False,False
399,B,False,False,False
400,B,False,False,False
401,A,True,False,False
402,B,True,False,False
403,B,True,False,False
404,B,True,False,False
405,A,False,False,False
406,B,True,True,False
407,A,True,False,False
408,A,False,False,False
409,B,False,False,False
410,A,True,False,False
411,A,False,False,False
412,B,False,False,False
413,B,True,False,False
414,B,True,True,False
415,B,False,False,False
416,A,False,False,False
417,A,False,False,False
418,A,True,False,False
419,B,False,False,False
420,B,False,False,False
421,B,True,False,False
422,B,False,False,False
423,A,False,False,False
424,A,False,False,False
425,A,False,False,False
426,B,False,False,False
427,A,False,False,False
428,B,False,False,False
429,A,True,True,False
430,A,False,False,False
431,A,True,True,True
432,B,True,False,False
433,B,False,False,False
434,A,False,False,False
435,A,False,False,False
436,B,False,False,False
437,A,True,False,False
438,B,False,False,False
439,B,False,False,False
440,A,False,False,False
441,A,False,False,False
442,B,False,False,False
443,A,False,False,False
444,A,False,False,False
445,B,True,False,False
446,B,False,False,False
447,B,False,False,False
448,B,False,False,False
449,A,False,False,False
450,A,False,False,False
451,B,False,False,False
452,B,False,False,False
453,A,False,False,False
454,B,False,False,False
455,A,False,False,False
456,A,False,False,False
457,A,True,False,False
458,A,False,False,False
459,A,True,False,False
460,A,False,False,False
461,A,False,False,False
462,B,False,False,False
463,B,False,False,False
464,B,False,False,False
465,B,True,False,False
466,A,False,False,False
467,A,False,False,False
468,B,False,False,False
469,A,False,False,False
470,B,False,False,False
471,A,False,False,False
472,B,False,False,False
473,A,False,False,False
474,B,True,False,False
475,B,False,False,False
476,B,False,False,False
477,A,True,False,False
478,B,True,False,False
479,B,False,False,False
480,B,False,False,False
481,B,True,False,False
482,B,False,False,False
483,A,False,False,False
484,B,True,False,False
485,B,True,False,False
486,B,False,False,False
487,A,True,False,False
488,A,False,False,False
489,B,False,False,False
490,B,True,False,False
491,A,True,True,False
492,B,True,True,False
493,A,True,False,False
494,A,True,False,False
495,A,False,False,False
496,A,True,False,False
497,B,False,False,False
498,A,False,False,False
499,B,True,False,False
500,B,True,False,False
501,B,True,False,False
502,B,True,False,False
503,A,False,False,False
504,B,True,False,False
505,B,False,False,False
506,A,False,False,False
507,B,False,False,False
508,B,False,False,False
509,B,False,False,False
510,B,True,False,False
511,B,True,False,False
512,A,False,False,False
513,B,True,False,False
514,B,False,False,False
515,A,False,False,False
516,A,False,False,False
517,A,False,False,False
518,B,False,False,False
519,B,False,False,False
520,A,False,False,False
521,B,False,False,False
522,A,False,False,False
523,B,False,False,False
524,B,False,False,False
525,B,False,False,False
526,A,False,False,False
527,A,False,False,False
528,A,True,False,False
529,A,False,False,False
530,B,True,False,False
531,B,False,False,False
532,B,False,False,False
533,B,False,False,False
534,B,True,False,False
535,B,False,False,False
536,B,False,False,False
537,B,False,False,False
